,id,npo,year,metric_id,metric_code,metric_name,unit,office,office_type,home_office,region,scenario,value_us_consolidated,value_non_consolidated,currency,metric_description,check_not_same_value_us,office_type_fe,graph_fe,region_gsheet_andreas,Field1,office_gsheet_andreas,value_non_consolidated_float,group_dataset,office_type_gsheet_andreas,country_gsheet_andreas,value_us_consolidated_float,OBJECTID_1,country_opensource_data_name,year_time,office_1,country
515,87547,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Netherlands,National Office,National Office,Europe,Actual,670464.0,670464.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Europe,0,WWF-Netherlands,670464.0,non_regional,National Office / Partners,Netherlands,670464.0,0,Netherlands,2018-01-01 00:00:00,,Netherlands
516,87548,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-New Zealand,National Office,National Office,Asia/Pacific,Actual,51230.0,51230.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-New Zealand,51230.0,non_regional,National Office / Partners,New Zealand,51230.0,0,New Zealand,2018-01-01 00:00:00,,New Zealand
517,87549,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Norway,National Office,National Office,Europe,Actual,54943.0,54943.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Europe,0,WWF-Norway,54943.0,non_regional,National Office / Partners,Norway,54943.0,0,Norway,2018-01-01 00:00:00,,Norway
518,87551,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Pakistan,National Office,National Office,Asia/Pacific,Actual,118315.0,118315.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Pakistan,118315.0,non_regional,National Office / Partners,Pakistan,118315.0,0,Pakistan,2018-01-01 00:00:00,,Pakistan
519,87552,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Paraguay,Country Office,US Country Office,Latin America/Caribbean,Actual,50.0,50.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Latin America/Caribbean,0,WWF-Paraguay,50.0,non_regional,Country Office,Paraguay,50.0,0,Paraguay,2018-01-01 00:00:00,,Paraguay
520,87553,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Peru,Country Office,US Country Office,Latin America/Caribbean,Actual,31.0,31.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Latin America/Caribbean,0,WWF-Peru,31.0,non_regional,Country Office,Peru,31.0,0,Peru,2018-01-01 00:00:00,,Peru
521,87554,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Philippines,National Office,National Office,Asia/Pacific,Actual,5046.0,5046.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Philippines,5046.0,non_regional,National Office / Partners,Philippines,5046.0,0,Philippines,2018-01-01 00:00:00,,Philippines
522,87555,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Poland,National Office,National Office,Europe,Actual,136212.0,136212.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Europe,0,WWF-Poland,136212.0,non_regional,National Office / Partners,Poland,136212.0,0,Poland,2018-01-01 00:00:00,,Poland
523,87557,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Singapore,National Office,National Office,Asia/Pacific,Actual,25007.0,25007.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Singapore,25007.0,non_regional,National Office / Partners,Singapore,25007.0,0,Singapore,2018-01-01 00:00:00,,Singapore
524,87558,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-South Africa,National Office,National Office,Africa,Actual,1980.0,1980.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Africa,0,WWF-South Africa,1980.0,non_regional,National Office / Partners,South Africa,1980.0,0,South Africa,2018-01-01 00:00:00,,South Africa
525,87559,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Spain,National Office,National Office,Europe,Actual,1104135.0,1104135.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Europe,0,WWF-Spain,1104135.0,non_regional,National Office / Partners,Spain,1104135.0,0,Spain,2018-01-01 00:00:00,,Spain
526,87560,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Sweden,National Office,National Office,Europe,Actual,198049.0,198049.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Europe,0,WWF-Sweden,198049.0,non_regional,National Office / Partners,Sweden,198049.0,0,Sweden,2018-01-01 00:00:00,,Sweden
527,87561,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Switzerland,National Office,National Office,Europe,Actual,193805.0,193805.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Europe,0,WWF-Switzerland,193805.0,non_regional,National Office / Partners,Switzerland,193805.0,0,Switzerland,2018-01-01 00:00:00,,Switzerland
528,87562,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Tanzania,Country Office,International Country Office,Africa,Actual,28.0,28.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Africa,0,WWF-Tanzania,28.0,non_regional,Country Office,"Tanzania, United Republic of",28.0,0,United Republic of Tanzania,2018-01-01 00:00:00,,"Tanzania, United Republic of"
529,87563,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Thailand,Country Office,International Country Office,Asia/Pacific,Actual,4502.0,4502.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Thailand,4502.0,non_regional,Country Office,Thailand,4502.0,0,Thailand,2018-01-01 00:00:00,,Thailand
530,87564,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Turkey,National Office,National Office,Europe,Actual,15873.0,15873.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Europe,0,WWF-Turkey,15873.0,non_regional,National Office / Partners,Turkey,15873.0,0,Turkey,2018-01-01 00:00:00,,Turkey
531,87565,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Uganda,Country Office,International Country Office,Africa,Actual,15.0,15.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Africa,0,WWF-Uganda,15.0,non_regional,Country Office,Uganda,15.0,0,Uganda,2018-01-01 00:00:00,,Uganda
